"num_docks_disabled","is_returning","num_docks_available","is_installed","num_ebikes_available","station_id","num_bikes_available","is_renting","num_scooters_available","last_reported","num_scooters_unavailable","num_bikes_disabled","fecha_hora"
0,1,13,1,14,"a3a8999a-a135-11e9-9cda-0a87ae2ba916",17,1,0,1774036481,0,0,2026-03-20 19:54:41
0,1,12,1,2,"a3a62aad-a135-11e9-9cda-0a87ae2ba916",4,1,0,1774036486,0,2,2026-03-20 19:54:46
0,1,8,1,0,"2186823631363753926",0,1,NA,1774036487,NA,0,2026-03-20 19:54:47
0,1,9,1,0,"a3b1d532-a135-11e9-9cda-0a87ae2ba916",2,1,0,1774036491,0,0,2026-03-20 19:54:51
0,1,12,1,0,"a3aaa68b-a135-11e9-9cda-0a87ae2ba916",4,1,0,1774036492,0,1,2026-03-20 19:54:52
0,1,5,1,9,"a3a795d7-a135-11e9-9cda-0a87ae2ba916",9,1,2,1774036492,0,0,2026-03-20 19:54:52
0,1,1,1,1,"a3b20960-a135-11e9-9cda-0a87ae2ba916",6,1,0,1774036489,0,0,2026-03-20 19:54:49
0,1,5,1,1,"a3a9c0f6-a135-11e9-9cda-0a87ae2ba916",9,1,1,1774036490,0,0,2026-03-20 19:54:50
0,1,2,1,3,"2134710117969748266",6,1,3,1774036488,0,0,2026-03-20 19:54:48
0,1,5,1,4,"2136953562065386088",4,1,1,1774036494,0,1,2026-03-20 19:54:54
0,1,10,1,0,"a3ac35ed-a135-11e9-9cda-0a87ae2ba916",1,1,0,1774036493,0,0,2026-03-20 19:54:53
0,1,10,1,0,"1934290380966283526",5,1,0,1774036493,0,0,2026-03-20 19:54:53
0,1,7,1,1,"2180731186891818558",1,1,0,1774036493,0,0,2026-03-20 19:54:53
0,1,9,1,0,"a3b2d2b7-a135-11e9-9cda-0a87ae2ba916",2,1,0,1774036497,0,0,2026-03-20 19:54:57
0,1,0,1,4,"2197048925058850020",4,1,0,1774036496,0,0,2026-03-20 19:54:56
0,1,6,1,7,"a3a5700b-a135-11e9-9cda-0a87ae2ba916",7,1,2,1774036495,0,0,2026-03-20 19:54:55
0,1,7,1,1,"2186308443416755100",1,1,0,1774036494,0,0,2026-03-20 19:54:54
0,1,9,1,0,"a3a3ace6-a135-11e9-9cda-0a87ae2ba916",5,1,0,1774036495,0,1,2026-03-20 19:54:55
0,1,8,1,2,"a3acdae2-a135-11e9-9cda-0a87ae2ba916",2,1,1,1774036496,0,0,2026-03-20 19:54:56
0,1,4,1,6,"a3b1c47b-a135-11e9-9cda-0a87ae2ba916",7,1,0,1774036493,0,0,2026-03-20 19:54:53
0,1,7,1,5,"2116941558607507816",6,1,6,1774036499,0,0,2026-03-20 19:54:59
0,1,13,1,0,"1967727360320698512",2,1,0,1774036498,0,0,2026-03-20 19:54:58
0,1,27,1,4,"1862806445904101456",11,1,0,1774036499,1,0,2026-03-20 19:54:59
0,1,5,1,4,"a3aa8ca0-a135-11e9-9cda-0a87ae2ba916",9,1,1,1774036499,0,0,2026-03-20 19:54:59
0,1,8,1,4,"a3a7f0ba-a135-11e9-9cda-0a87ae2ba916",7,1,0,1774036501,0,0,2026-03-20 19:55:01
0,1,12,1,3,"a3a99d47-a135-11e9-9cda-0a87ae2ba916",11,1,0,1774036501,0,0,2026-03-20 19:55:01
